Name,Rank,Headquarter,CEO,Market Capitalization,Total No. Of Employee,Sectors,url
DELL TECHNOLOGIES,405,USA,Michael S. Dell,38.28 Billion USD,"165,000","Technology, Laptops, Computers Hardware, Computers and Components, Mobiles, TV's, Software and IT, Network Hardware and Software",https://value.today/company/dell-technologies
JAPAN POST HOLDINGS,406,Japan,Hiroya Masuda,38.16 Billion USD,"193,910","Financial Services, Banking Services",https://value.today/company/japan-post-holdings
DELTA AIR LINES,407,USA,Ed Bastian,38.16 Billion USD,"88,600","Industries, Airlines, Aviation, Transportation",https://value.today/company/delta-air-lines
OCCIDENTAL PETROLEUM CORPORATION,408,USA,Vicki Hollub,38.09 Billion USD,"14,400","Energy, Oil and Gas, Chemicals, Petrochemicals, Petroleum, Natural Gas Generation",https://value.today/company/occidental-petroleum-corporation
CHINA EVERGRANDE GROUP,409,China,Xia Haijun,37.89 Billion USD,"133,000","Real Estate, Property Investments, Construction, Investments",https://value.today/company/china-evergrande-group
FRESENIUS SE,410,Germany,Stephan Sturm,37.79 Billion USD,"294,134","Healthcare, Hospitals, HealthCare Products, Healthcare Service",https://value.today/company/fresenius-se
PRUDENTIAL FINANCIAL,411,USA,Charles F. Lowrey,37.78 Billion USD,"51,511","Financial Services, Insurance, Asset Management",https://value.today/company/prudential-financial
ROPER TECHNOLOGIES,412,USA,Neil Hunn,37.45 Billion USD,"16,460","Industries, Engineering Products, Technology Hardware, Electrical Products, Machinery Manufacturing, Capital Goods, Technology, Manufacturing, Industry Machinery",https://value.today/company/roper-technologies
FORD MOTOR COMPANY,413,USA,Jim Hackett,37.35 Billion USD,"190,000","Consumer Cyclical, Automobile, Cars, Commercial Vehicles, Trucks, Vans, Capital Goods",https://value.today/company/ford-motor-company
CK HUTCHISON HOLDINGS,414,Hong Kong,Mr. Li,37.35 Billion USD,"300,000","Industries, Conglomerate, Telecom, Energy, Infrastructure, Retail",https://value.today/company/ck-hutchison-holdings
CANADIAN IMPERIAL BANK OF COMMERCE,415,Canada,Victor G. Dodig,37.31 Billion USD,"43,853","Financial Services, Banking Services",https://value.today/company/canadian-imperial-bank-commerce
BOC HONG KONG,416,Hong Kong,Gao Yingxin,37.18 Billion USD,"14,668","Financial Services, Banking Services",https://value.today/company/boc-hong-kong
TELEFONICA SA,417,Spain,Jose Maria Alvarez-Pallete Lopez,37.10 Billion USD,"113,819","Communication Services, Telecom, Mobile Services, Internet Providers, Utilities, Telecom Equipment, Telecom",https://value.today/company/telefonica-sa
MTR CORPORATION,418,Hong Kong,Jacob Kam,36.74 Billion USD,"34,200","Industries, Railway, Rail Transport, Railway Operating Company, Transportation",https://value.today/company/mtr-corporation
COUNTRY GARDEN HOLDINGS COMPANY,419,China,Bin Mo,36.58 Billion USD,"25,300","Real Estate, Construction, Property Investments, Hotels, Construction, Investments",https://value.today/company/country-garden-holdings-company
CHINA RESOURCES LAND,420,China,Tang Yong,36.53 Billion USD,,"Real Estate, Construction, Property Investments, Construction, Investments",https://value.today/company/china-resources-land
FANUC CORPORATION,421,Japan,Yoshiharu Inaba,36.49 Billion USD,"7,866","Industries, Automation, Robotics, Technology, Machinery Manufacturing, Manufacturing, Industry Machinery",https://value.today/company/fanuc-corporation
CONSTELLATION BRANDS,422,USA,Bill Newlands,36.48 Billion USD,"9,000","Consumer Defensive, Alcoholic Beverages, Beverages, Beer, Wine, FMCG, Consumer Non Durables",https://value.today/company/constellation-brands
ALLSTATE CORPORATION,423,USA,Thomas J. Wilson,36.45 Billion USD,"46,290","Financial Services, Insurance, Financial Services",https://value.today/company/allstate-corporation
ALIMENTATION COUCHE-TARD,424,Canada,Brian P. Hannasch,36.37 Billion USD,"131,000","Consumer Defensive, Retail, Convenience Stores",https://value.today/company/alimentation-couche-tard
JAPAN POST BANK,425,Japan,Masatsugu Nagato,36.21 Billion USD,"13,009","Financial Services, Banking Services",https://value.today/company/japan-post-bank
HOYA CORPORATION,426,Japan,Hiroshi Suzuki,36.17 Billion USD,"37,412","Healthcare, Electronics, Medical Equipment, Consumer Goods",https://value.today/company/hoya-corporation
OVERSEA-CHINESE BANKING CORPORATION,427,Singapore,Samuel N. Tsien,35.97 Billion USD,"29,706","Financial Services, Banking Services, Asset Management, Wealth Management",https://value.today/company/oversea-chinese-banking-corporation
SPACEX,427,USA,,,"8,000","Satellites, Rockets, Technology",https://value.today/company/spacex
STRIPE,427,USA,,,"2,500","Digital Payment Solution Services, Technology, Software and IT",https://value.today/company/stripe
THOMSON REUTERS CORPORATION,428,Canada,Steve Hasker,35.89 Billion USD,"24,400","Industries, Media, Advertising, Internet or Mobile App Based Business, Financial Services, Consumer Services, Publishing, Consulting Services",https://value.today/company/thomson-reuters-corporation
BAJAJ FINANCE,429,India,Sanjiv Bajaj,35.78 Billion USD,"26,969","Financial Services, Insurance, Asset Management, Wealth Management",https://value.today/company/bajaj-finance
DENSO CORPORATION,430,Japan,Koji Arima,35.78 Billion USD,"170,932","Consumer Cyclical, Electronics, Automobile, Electrical Products, Automobile Parts",https://value.today/company/denso-corporation
NXP SEMICONDUCTORS,431,Netherlands,"Kurt Sievers, Richard L. Clemmer",35.77 Billion USD,"29,400","Technology, Electronics, Semi Conductors, Sensors",https://value.today/company/nxp-semiconductors
LONDON STOCK EXCHANGE GROUP,432,UK,"David Schwimmer, David Warren",35.74 Billion USD,"4,965","Financial Services, Stock Markets, Trading, Capital Markets, Trading",https://value.today/company/london-stock-exchange-group
AIRPORTS OF THAILAND,433,Thailand,,35.71 Billion USD,"7,230","Industries, Airports Operating, Infrastructure",https://value.today/company/airports-thailand-0
THE TRAVELERS COMPANIES,434,USA,Alan D. Schnitzer,35.62 Billion USD,"30,800","Financial Services, Insurance",https://value.today/company/travelers-companies
AB VOLVO,435,Sweden,Martin Lundstedt,35.34 Billion USD,"103,985","Industries, Automobile, Bus Manufacturing, Trucks, Commercial Vehicles, Heavy Machinery",https://value.today/company/ab-volvo
XIAOMI CORPORATION,436,China,Lei Jun,35.26 Billion USD,"18,170","Technology, Electronics, Mobiles & Accessories, TV's, Laptops, Tablets, Electronics",https://value.today/company/xiaomi-corporation
AMADEUS IT GROUP,437,Spain,Luis Maroto,35.21 Billion USD,"19,000","Technology, Software and IT, Software Products",https://value.today/company/amadeus-it-group-0
H & M HENNES & MAURITZ AB,438,Sweden,Helena Helmersson,35.10 Billion USD,"179,000","Consumer Cyclical, Retail, Clothing, Readymade Clothing, Apparels and Accessories",https://value.today/company/h-m-hennes-mauritz-ab
CARNIVAL CORPORATION,439,USA,Arnold W. Donald,35.10 Billion USD,"120,000","Consumer Cyclical, Travel and Transport, Marine Transportation, Transportation, Consumer Services",https://value.today/company/carnival-corporation
CANADIAN PACIFIC RAILWAY,440,Canada,Keith Creel,35.06 Billion USD,"13,000","Industries, Railway, Railway Operating Company, Rail Transport, Transportation",https://value.today/company/canadian-pacific-railway
TOKYO ELECTRON LIMITED,441,Japan,Toshiki Kawai,35.04 Billion USD,"12,742","Technology, Semi Conductors, Electronics, Technology Hardware",https://value.today/company/tokyo-electron
EDF (ELECTRICITE DE FRANCE),442,France,Jean-Bernard Levy,34.93 Billion USD,"18,994","Utilities, Energy, Electricity Generation, Power Generation, Nuclear Power, Renewable Energy, Solar Power, Wind Power, HydroElectric Power, Electric Utilities",https://value.today/company/edf-electricite-de-france
TRAFIGURA,442,USA,,,"5,106",Commodities Trading,https://value.today/company/trafigura
ITOCHU CORPORATION,443,Japan,Masahiro Okafuji,34.87 Billion USD,"128,000","Industries, Trading, Imports / Exports Services, Conglomerate",https://value.today/company/itochu-corporation
LINKEDIN,443,USA,,,"15,000","Social Media, Internet or Mobile App Based Business, Technology",https://value.today/company/linkedin
ENERGY TRANSFER LP,444,USA,Kelcy Warre,34.75 Billion USD,"12,812","Energy, Oil and Gas, Oil and Gas Pipeline Transport, Petroleum, Natural Gas Generation",https://value.today/company/energy-transfer-lp
SURGUTNEFTEGAS,446,Russia,Vladimir Bogdanov,34.56 Billion USD,"101,713","Energy, Oil and Gas, Natural Gas Generation, Petroleum, Oil Refining",https://value.today/company/surgutneftegas
NORDEA BANK ABP,447,Finland,"Frank Vang-Jensen, Casper von Koskull",34.48 Billion USD,"29,000","Financial Services, Banking Services",https://value.today/company/nordea-bank-abp
MACQUARIE GROUP,448,Australia,Shemara Wikramanayake,34.44 Billion USD,"15,715","Financial Services, Investments, Asset Management, Stock Markets, Trading, Capital Markets",https://value.today/company/macquarie-group
VIVENDI,449,France,Arnaud de Puyfontaine,34.41 Billion USD,"44,640","Communication Services, Media, Broadcasting, Television Services, Telecom, Entertainment, Video Games / Mobile Games / Tech Games, Music, Movies & Posters, Advertising, Movies / Entertainment, Entertainment, Music",https://value.today/company/vivendi
WESFARMERS,450,Australia,Rob Scott,34.38 Billion USD,"107,000","Consumer Cyclical, Conglomerate, Retail, Super Markets, Fertilizers, Chemicals, Mining, Coal Mining, Consumer Non Durables",https://value.today/company/wesfarmers
MONSTER BEVERAGE CORPORATION,451,USA,Rodney Sacks,34.25 Billion USD,"3,529","Consumer Defensive, Non-Alcoholic Beverages, Beverages, FMCG, Consumer Non Durables",https://value.today/company/monster-beverage-corporation
COGNIZANT TECHNOLOGY SOLUTIONS,452,"USA, India",Brian Humphries,34.04 Billion USD,"291,700","Technology, Software and IT, Software Products, Software Consulting Services, Software Outsourcing Services, Consulting Services, Outsourcing and Staffing",https://value.today/company/cognizant-technology-solutions
EAST JAPAN RAILWAY COMPANY,453,Japan,Tetsuro Tomita,34.03 Billion USD,"72,400","Industries, Railway, Rail Transport, Railway Operating Company, Freight Transport, Transportation",https://value.today/company/east-japan-railway-company
KONE OYJ,454,Finland,Henrik Ehrnrooth,33.92 Billion USD,"58,369","Industries, Escalators, Elevators, Engineering Products, Building Automation, Machinery Manufacturing, Industry Machinery",https://value.today/company/kone-oyj
GALAXY ENTERTAINMENT GROUP,455,Hong Kong,Francis Lui,33.90 Billion USD,"22,000","Consumer Cyclical, Hotels, Casinos, Entertainment",https://value.today/company/galaxy-entertainment-group
CREDIT SUISSE GROUP,456,Switzerland,Thomas Gottstein,33.89 Billion USD,"47,860","Financial Services, Investments, Investment Banking, Asset Management, Banking Services",https://value.today/company/credit-suisse-group
UNICREDIT,457,Italy,Jean-Pierre Mustier,33.73 Billion USD,"144,000","Financial Services, Banking Services, Insurance",https://value.today/company/unicredit
CHINA TELECOM CORPORATION,458,China,Jie Yang,33.67 Billion USD,"281,215","Communication Services, Telecom, Mobile Services, Internet Providers, Television Services, Fixed Line Service, Utilities, Telecom Equipment, Telecom",https://value.today/company/china-telecom-corporation
WELLTOWER,459,USA,Thomas J. DeRosa,33.59 Billion USD,443,"Real Estate, Property Investments, Investments, Hospitals, Consumer Services",https://value.today/company/welltower
XCEL ENERGY,460,USA,Ben Fowke,33.59 Billion USD,"11,273","Utilities, Electric Utilities, Gas Utilities, Power Generation, Electricity Generation, Energy",https://value.today/company/xcel-energy
HONG KONG AND CHINA GAS COMPANY,461,Hong Kong,,33.58 Billion USD,"2,050","Utilities, Water Utilities, Gas Utilities, Oil and Gas",https://value.today/company/hong-kong-and-china-gas-company
TYSON FOODS,462,USA,Noel W. White,33.56 Billion USD,"141,000","Consumer Defensive, Food Products, Meat / Poultry / Fish / Chicken, FMCG, Consumer Non Durables, Meat / Poultry / Fish / Chicken",https://value.today/company/tyson-foods
BARRICK GOLD CORPORATION,463,Canada,Mark Bristow,33.56 Billion USD,"22,500","Basic Materials, Gold Mining, Mining",https://value.today/company/barrick-gold-corporation
O'REILLY AUTOMOTIVE,465,USA,Gregory D. Johnson,33.26 Billion USD,"82,484","Consumer Cyclical, Retail, Automobile Parts, Consumer Services, Automobile",https://value.today/company/oreilly-automotive
CONTEMPORARY AMPEREX TECHNOLOGY,466,China,Zeng Yuqun,33.24 Billion USD,"24,875","Industries, Batteries, Automobile Parts, Electronics, Technology",https://value.today/company/contemporary-amperex-technology
UNITED OVERSEAS BANK,467,Singapore,Wee Ee Cheong,33.10 Billion USD,"25,000","Financial Services, Banking Services",https://value.today/company/united-overseas-bank
SOUTHERN COPPER CORPORATION,468,Mexico,Oscar Gonzalez Rocha,33.00 Billion USD,"14,301","Basic Materials, Mining, Metals, Copper, Silver, Molybdenum, Zinc, Gold Mining, Lead, Precious Metals",https://value.today/company/southern-copper-corporation
TESCO,469,UK,Ken Murphy,33.00 Billion USD,"450,000","Consumer Defensive, Retail, Super Markets, Hypermarkets, Convenience Stores, Consumer Services",https://value.today/company/tesco
BHARTI AIRTEL,470,India,Gopal Vittal,32.68 Billion USD,"17,917","Communication Services, Telecom, Mobile Services, Fixed Line Service, Internet Providers, Television Services, Telecom",https://value.today/company/bharti-airtel
SEVEN & I HOLDINGS,471,Japan,Ryuichi Isaka,32.65 Billion USD,"58,165","Consumer Defensive, Retail, Super Markets, Convenience Stores",https://value.today/company/seven-i-holdings
ASSICURAZIONI GENERALI,472,Italy,Philippe Donnet,32.61 Billion USD,"72,000","Financial Services, Insurance",https://value.today/company/assicurazioni-generali
AMPHENOL CORPORATION,473,USA,Richard Adam Norwitt,32.53 Billion USD,"74,000","Technology, Electronics, Cables and Wires, Electrical Products, Capital Goods, Technology Hardware",https://value.today/company/amphenol-corporation
GENERAL MILLS,474,USA,Jeff Harmening,32.52 Billion USD,"40,000","Consumer Defensive, Food Products, FMCG, Dairy Products, Consumer Non Durables, Package Foods",https://value.today/company/general-mills
FOMENTO ECONOMICO MEXICANOB. DE C.V. (FEMSA),475,Mexico,,32.46 Billion USD,"297,073","Consumer Defensive, Non-Alcoholic Beverages, Beverages, FMCG, Consumer Non Durables, Alcoholic Beverages",https://value.today/company/fomento-economico-mexicanob.-de-c.v.-femsa
